qid,accused_problem,country-focus,binary_or_statement,fact_or_opinion,answer_cn_length,answer_eng_cn_trans_length,answer_eng_length,answer_cn_eng_trans_length,answer_cn_length_diff,answer_eng_length_diff,answer_cn_sent_CN_classifier,answer_eng_sent_CN_classifier,answer_cn_sent_num_CN_classifier,answer_eng_sent_num_CN_classifier,answer_sent_cn_eng_diff_CN_classifier,consist_EN_classifier,consist_EN_classifier_num,consist_CN_classifier,consist_CN_classifier_num,answer_cn_sent_num_EN_classifier,answer_eng_sent_num_EN_classifier,answer_sent_cn_eng_diff_EN_classifier
1,0,None,statement,fact,27,3,15,46,24,31,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
2,0,None,statement,fact,40,18,59,136,22,77,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
3,0,None,statement,fact,15,12,45,46,3,1,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
4,0,None,statement,fact,12,4,9,34,8,25,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
5,0,None,statement,fact,35,12,38,38,23,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
6,0,None,statement,fact,114,67,223,397,47,174,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
7,0,None,statement,fact,109,2,8,336,107,328,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
8,0,None,statement,fact,3,3,10,10,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
9,0,None,statement,fact,8,7,18,17,1,-1,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
10,0,None,statement,fact,7,7,27,27,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
11,0,None,statement,fact,4,12,26,9,-8,-17,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
12,0,None,statement,fact,16,19,51,64,-3,13,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
13,0,None,statement,fact,37,35,137,112,2,-25,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
14,0,None,statement,fact,14,25,67,45,-11,-22,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
15,0,None,statement,fact,7,7,28,28,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
16,0,None,statement,fact,78,14,38,209,64,171,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
17,0,None,statement,fact,11,10,35,35,1,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
18,0,None,statement,fact,6,20,65,4,-14,-61,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
19,0,None,statement,fact,45,13,45,171,32,126,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
20,0,None,statement,fact,94,31,112,332,63,220,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
21,0,None,statement,fact,204,15,70,798,189,728,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
22,0,None,statement,fact,15,15,31,31,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
23,0,None,statement,fact,26,33,100,88,-7,-12,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
24,0,None,statement,fact,2,2,9,9,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
25,0,None,statement,fact,5,8,19,18,-3,-1,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
26,0,None,statement,fact,2,7,22,5,-5,-17,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
27,0,None,statement,fact,2,1,6,6,1,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
28,0,None,statement,fact,8,5,11,18,3,7,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
29,0,None,statement,fact,11,8,23,32,3,9,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
30,0,None,statement,fact,23,12,38,74,11,36,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
31,0,None,statement,fact,11,11,27,27,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
32,0,None,statement,fact,17,2,8,58,15,50,NA,NA,NA,NA,NA,consistent,1,inconsistent,0,NA,NA,NA
33,0,None,statement,fact,8,2,7,23,6,16,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
34,0,None,statement,fact,8,9,22,23,-1,1,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
35,0,None,statement,fact,9,8,25,31,1,6,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
36,0,None,statement,fact,13,13,38,45,0,7,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
37,0,None,statement,fact,10,10,37,37,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
38,0,None,statement,fact,13,11,41,64,2,23,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
39,0,None,statement,fact,15,20,76,68,-5,-8,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
40,0,None,statement,fact,34,16,64,130,18,66,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
41,0,None,statement,fact,15,16,49,42,-1,-7,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
42,0,None,statement,fact,22,29,111,85,-7,-26,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
43,0,None,statement,fact,15,15,52,52,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
44,0,None,statement,fact,10,9,35,38,1,3,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
45,0,None,statement,fact,6,6,26,26,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
46,0,None,statement,fact,11,15,46,40,-4,-6,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
47,0,None,statement,fact,2,13,48,5,-11,-43,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
48,0,None,statement,fact,9,11,43,37,-2,-6,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
49,0,None,statement,fact,12,14,54,48,-2,-6,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
50,0,None,statement,fact,13,13,50,50,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
51,0,None,statement,fact,12,13,41,41,-1,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
52,0,None,statement,fact,110,2,8,441,108,433,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
53,0,None,statement,fact,18,14,37,55,4,18,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
54,0,None,statement,fact,15,14,50,60,1,10,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
55,0,None,statement,fact,44,26,79,161,18,82,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
56,0,None,statement,fact,8,27,88,14,-19,-74,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
57,0,None,statement,fact,46,3,18,205,43,187,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
58,0,None,statement,fact,34,12,47,136,22,89,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
59,0,None,statement,fact,23,23,80,61,0,-19,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
60,0,None,statement,fact,39,11,41,57,28,16,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
61,0,None,statement,fact,12,3,14,49,9,35,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
62,0,None,statement,fact,16,16,58,52,0,-6,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
63,0,None,statement,fact,19,28,89,76,-9,-13,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
64,0,None,statement,fact,9,11,58,36,-2,-22,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
65,0,None,statement,fact,12,33,120,42,-21,-78,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
66,0,None,statement,fact,31,22,96,112,9,16,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
67,0,None,statement,fact,21,27,85,58,-6,-27,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
68,0,None,statement,fact,119,21,104,466,98,362,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
69,0,None,statement,fact,10,39,101,27,-29,-74,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
70,0,None,statement,fact,23,23,72,63,0,-9,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
71,0,None,statement,fact,20,22,73,69,-2,-4,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
72,0,None,statement,fact,260,219,801,954,41,153,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
73,0,None,statement,fact,16,16,68,68,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
74,0,None,statement,fact,18,14,53,70,4,17,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
75,0,None,statement,fact,10,3,3,36,7,33,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
76,0,None,statement,fact,7,21,68,19,-14,-49,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
77,0,None,statement,fact,3,13,52,12,-10,-40,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
78,0,None,statement,fact,5,13,52,13,-8,-39,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
79,0,None,statement,fact,2,12,43,4,-10,-39,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
80,0,None,statement,fact,6,14,44,20,-8,-24,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
81,0,None,statement,fact,3,42,161,5,-39,-156,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
82,0,None,statement,fact,4,101,338,8,-97,-330,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
83,0,None,statement,fact,2,20,59,5,-18,-54,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
84,0,None,statement,fact,30,13,51,105,17,54,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
