qid,country-focus,accused_problem,binary_or_statement,fact_or_opinion,yesno_cn_handcode,yesno_eng_handcode,answer_cn_length,answer_eng_to_cn_length,answer_eng_length,answer_cn_to_eng_length,answer_cn_length_diff,answer_eng_length_diff,yesno_cn_handcode_recode,yesno_eng_handcode_recode,is_consistent,answer_diff,answer_cn_sent,answer_eng_sent,consist_handcode_binary,topic_focus,consist_handcode_binary_num,answer_cn_sent_num_CN_classifier,answer_eng_sent_num_CN_classifier,answer_sent_cn_eng_diff_CN_classifier,consist_EN_classifier,consist_EN_classifier_num,consist_CN_classifier,consist_CN_classifier_num,answer_cn_sent_num_EN_classifier,answer_eng_sent_num_EN_classifier,answer_sent_cn_eng_diff_EN_classifier
1,NA,0,statement,fact,NA,NA,55,27,110,137,28,27,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
2,NA,0,statement,fact,NA,NA,18,22,68,59,-4,-9,NA,NA,somewhat consistent,1,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
3,NA,0,statement,fact,NA,NA,19,19,76,72,0,-4,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
4,NA,0,statement,fact,NA,NA,18,18,59,59,0,0,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
5,NA,0,statement,fact,NA,NA,35,12,38,38,23,0,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
6,NA,0,statement,fact,NA,NA,93,90,318,300,3,-18,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
7,NA,0,statement,fact,NA,NA,102,29,123,390,73,267,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
8,NA,0,statement,fact,NA,NA,81,11,40,271,70,231,NA,NA,consistent,0,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
9,NA,0,statement,fact,NA,NA,7,7,18,17,0,-1,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
10,NA,0,statement,fact,NA,NA,7,7,27,27,0,0,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
11,NA,0,statement,fact,NA,NA,11,20,74,26,-9,-48,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
12,NA,0,statement,fact,NA,NA,129,19,76,490,110,414,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
13,NA,0,statement,fact,NA,NA,73,65,209,264,8,55,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
14,NA,0,statement,fact,NA,NA,20,19,56,51,1,-5,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
15,NA,0,statement,fact,NA,NA,7,7,28,28,0,0,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
16,NA,0,statement,fact,NA,NA,108,89,258,290,19,32,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
17,NA,0,statement,fact,NA,NA,10,10,35,35,0,0,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
